,category,full_text,retweet_count,created_at,geo
69,Android,RT @ESET: ESET Mobile Security has been commended with top scores in the latest @AV-Test for best antivirus software for Android devices. T…,44,Tue Sep 15 19:20:27 +0000 2020,
70,Android,+ Achievement unlocked! I learned how to make my apps compatible with Android 11.Check it out! #DevBadges https://t.co/RDt16vbJwD,0,Tue Sep 15 19:20:26 +0000 2020,
71,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:25 +0000 2020,
72,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:24 +0000 2020,
73,Android,Break ya Neck Nigga https://t.co/ynFNRxRlRt,0,Tue Sep 15 19:20:23 +0000 2020,
74,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:22 +0000 2020,
75,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:22 +0000 2020,
76,Android,RT @9to5Google: Google Duo for Android regains screen sharing after removal two years ago https://t.co/uSjVjy2664 by @technacity https://t.…,6,Tue Sep 15 19:20:21 +0000 2020,
77,Android,"RT @MiTVIndia: Mi fans, Grab your #MiTV #HorizonEditon today.

Get your Mi TV 4A 80cm (32) Horizon Edition at 12PM.

Available at just ₹13,…",148,Tue Sep 15 19:20:21 +0000 2020,
78,Android,City Racing 2 Gameplay Android IOS ( Multiplayer Online / New Game / Fir... https://t.co/CrikkVUcgR via @YouTube #Racing #androidgames #gaming,0,Tue Sep 15 19:20:20 +0000 2020,
79,Android,"RT @NecromundaGS: Introducing Necromunda: Gang Skirmish! A tactical online multiplayer game coming soon to iOS and Android!  

Register for…",12,Tue Sep 15 19:20:20 +0000 2020,
80,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:20 +0000 2020,
81,Android,@KashifMD Good. Time to switch to Android :),0,Tue Sep 15 19:20:18 +0000 2020,
82,Android,"RT @XboxGamePass: Close your eyes and imagine a world where XGP Ultimate members can play XGP games on their Android devices

now open your…",377,Tue Sep 15 19:20:17 +0000 2020,
83,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:17 +0000 2020,
84,Android,"tc electronic

Vortex Mini Flanger

Pedal de Flanger
Depth, Speed y Feedback
TonePrint-""Beaming"" 
TonePrint gratuito (iPhone y Android) carga directa en el Vortex Mini Flanger
True Bypass
Analog-Dry Through
No funciona con baterías
Requiere eliminador de 9V DC no incluido https://t.co/mkcu8zHofS",0,Tue Sep 15 19:20:17 +0000 2020,
85,Android,"Hey @disneyplus, what am I doing wrong? Have a Dolby Vision/Atmos capable system, but cannot get either while using the Android app w/ Galaxy S20 Ultra + Chromecast Ultra. Using my TV's Android app, I get D Vision to work, but no Atmos to the receiver. Sound is DD+ in both way🤷🏻‍♂️",0,Tue Sep 15 19:20:15 +0000 2020,
